Action , FunctionalFeature , forceOnTool_X , forceOnTool_Z  , toolVelAtHit_X , toolVelAtHit_Z , InitialToolPos_X , InitialToolPos_Z , FinalToolPos_X , FinalToolPos_Z , InitialLinkPos_X , InitialToolPos_Z , InitialTargetPos_X , InitialTargetPos_Z , targetFinalPos_X , targetFinalPos_Z , targetPlacement_X , targetPlacement_ZtargetDisplacement_X , targetDisplacement_Z
1 , 2 , 0.00 , 1000.00 , -0.09 , 4.70 , 160.00 , 40.00 , 160.01 , 39.97 , -9.95 , 25.40 , 150.00 , 23.00 , 157.25 , 81.69 , -159.94 , 2.40 , 7.25 , 58.69
1 , 2 , 0.00 , 1264.05 , -0.00 , 1.60 , 160.00 , 40.00 , 160.04 , 39.93 , -9.95 , 20.38 , 150.00 , 23.00 , 152.59 , 77.13 , -159.95 , -2.62 , 2.59 , 54.13
1 , 2 , 0.00 , 1449.58 , -0.00 , 4.18 , 160.00 , 40.00 , 160.03 , 39.98 , -9.93 , 18.98 , 150.00 , 23.00 , 147.69 , 52.94 , -159.93 , -4.02 , -2.31 , 29.94
1 , 2 , 0.00 , 1236.06 , -0.00 , -0.00 , 160.00 , 40.00 , 160.02 , 40.01 , -9.93 , 18.98 , 150.00 , 23.00 , 149.40 , 47.16 , -159.93 , -4.02 , -0.60 , 24.16
1 , 2 , 0.00 , 1368.99 , 0.00 , 4.41 , 160.00 , 40.00 , 160.01 , 39.98 , -9.95 , 19.20 , 150.00 , 23.00 , 149.88 , 49.32 , -159.95 , -3.80 , -0.12 , 26.32
1 , 2 , 0.00 , 1267.89 , -0.00 , -0.00 , 160.00 , 40.00 , 160.07 , 39.43 , -9.94 , 18.71 , 150.00 , 23.00 , 151.97 , 88.67 , -159.94 , -4.29 , 1.97 , 65.67
1 , 2 , 0.00 , 1000.60 , -0.00 , 4.94 , 160.00 , 40.00 , 160.03 , 39.97 , -9.93 , 24.99 , 150.00 , 23.00 , 151.60 , 53.23 , -159.93 , 1.99 , 1.60 , 30.23
1 , 2 , 0.00 , 1317.01 , -0.00 , 0.66 , 160.00 , 40.00 , 160.02 , 39.98 , -9.94 , 18.98 , 150.00 , 23.00 , 152.06 , 82.03 , -159.94 , -4.02 , 2.06 , 59.03
1 , 2 , 0.00 , 1413.23 , 0.00 , -0.00 , 160.00 , 40.00 , 160.01 , 39.99 , -9.96 , 20.55 , 150.00 , 23.00 , 151.73 , 47.47 , -159.96 , -2.45 , 1.73 , 24.47
1 , 2 , 0.00 , 1340.34 , -0.00 , 4.28 , 160.00 , 40.00 , 160.01 , 39.99 , -9.93 , 23.61 , 150.00 , 23.00 , 149.75 , 45.20 , -159.93 , 0.61 , -0.25 , 22.20
