Action , FunctionalFeature , forceOnTool_X , forceOnTool_Z  , toolVelAtHit_X , toolVelAtHit_Z , InitialToolPos_X , InitialToolPos_Z , FinalToolPos_X , FinalToolPos_Z , InitialLinkPos_X , InitialToolPos_Z , InitialTargetPos_X , InitialTargetPos_Z , targetFinalPos_X , targetFinalPos_Z , targetPlacement_X , targetPlacement_ZtargetDisplacement_X , targetDisplacement_Z
1 , 3 , 0.00 , 1000.00 , -0.00 , 1.72 , 300.00 , 40.00 , 300.00 , 40.00 , -0.00 , 40.25 , 297.00 , 23.00 , 289.17 , 115.45 , -297.00 , 17.25 , -7.83 , 92.45
1 , 3 , 0.00 , 1264.05 , -0.00 , -0.00 , 300.00 , 40.00 , 300.00 , 39.95 , -9.93 , 23.68 , 297.00 , 23.00 , 295.17 , 73.17 , -306.92 , 0.68 , -1.83 , 50.17
1 , 3 , 0.00 , 1449.58 , -0.00 , 1.74 , 300.00 , 40.00 , 299.99 , 39.99 , -9.93 , 18.98 , 297.00 , 23.00 , 291.37 , 141.40 , -306.93 , -4.02 , -5.63 , 118.40
1 , 3 , 0.00 , 1236.06 , 0.00 , 4.28 , 300.00 , 40.00 , 300.00 , 39.96 , -9.95 , 21.07 , 297.00 , 23.00 , 295.96 , 44.48 , -306.95 , -1.93 , -1.04 , 21.48
1 , 3 , 0.00 , 1368.99 , -0.00 , 0.29 , 300.00 , 40.00 , 300.00 , 39.99 , -9.93 , 22.59 , 297.00 , 23.00 , 297.43 , 40.13 , -306.93 , -0.41 , 0.43 , 17.13
1 , 3 , 0.00 , 1267.89 , 0.00 , 0.03 , 300.00 , 40.00 , 300.00 , 40.01 , 0.00 , 46.54 , 297.00 , 23.00 , 297.58 , 43.50 , -297.00 , 23.54 , 0.58 , 20.50
1 , 3 , 0.00 , 1000.60 , -0.00 , 0.51 , 300.00 , 40.00 , 300.00 , 40.00 , -9.94 , 26.57 , 297.00 , 23.00 , 296.72 , 46.49 , -306.94 , 3.57 , -0.27 , 23.49
1 , 3 , 0.00 , 1317.01 , -0.03 , 4.49 , 300.00 , 40.00 , 299.99 , 39.96 , 0.00 , 48.89 , 297.00 , 23.00 , 348.56 , 189.56 , -297.00 , 25.89 , 51.56 , 166.56
